epoch,split,loss,accuracy,precision,recall,f1,auc
1,train,0.6082001999020576,0.703125,0.71875,0.696969696969697,0.7076923076923077,0.7265395894428153
1,validation,0.9052682816982269,0.59375,1.0,0.07142857142857142,0.13333333333333333,0.9603174603174602
2,train,0.1695666613522917,0.921875,0.9375,0.9090909090909091,0.9230769230769231,0.9855816226783969
2,validation,0.08578139636665583,0.96875,1.0,0.9285714285714286,0.9629629629629629,1.0
3,train,0.10884055800852366,0.9609375,0.9295774647887324,1.0,0.9635036496350365,0.9956011730205279
3,validation,0.09307157434523106,0.9375,1.0,0.8571428571428571,0.9230769230769231,1.0
